备急千金要方	一
《备急千金要方》序	三
新校备急千金要方序	五
卷第一　序例	七
大医习业第一	七
大医精诚第二	七
治病略例第三	九
诊候第四	一二
处方第五	一四
用药第六	一六
合和第七	三二
服饵第八	四〇
药藏第九	四三
卷第二　妇人方上	四五
求子第一  转女为男附　论六首　方一十五首　灸法六首　转女为男法三首	四五
妊娠恶阻第二　辨男女　辨将产附 　论二首　方四首　法二首	五二
养胎第三　禁忌　滑胎附　论二首　方二十三首　禁忌一首　逐月养胎二十首	五五
妊娠诸病第四　此篇有十章	六四
产难第五　运闷附　论一首八条　方二十一首　针法一首	七六
子死腹中第六　得病须去胎附　论一首　方十七首	七九
逆生第七　论一首　方十四首	八一
胞胎不出第八　方二十二首	八二
下乳第九　方二十一首	八五
卷第三　妇人方中	八九
虚损第一　盗汗附　论一首三条　方二十一首	八九
虚烦第二　方十一首	九五
中风第三　心虚惊悸附　论一首　方三十首	九七
心腹痛第四　方二十六首	一〇五
恶露第五　血瘕附　方二十九首	一一一
下痢第六　方十九首	一一六
淋渴第七　方九首	一二〇
杂治第八　方五十九首　灸法九首	一二三
卷第四　妇人方下	一三四
补益第一　论一首　方十四首	一三四
月水不通第二　方三十一首	一三九
赤白带下崩中漏下第三　论二首　方六十五首　灸法八首	一四九
月经不调第四　方二十三首　灸法一首	一六五
卷第五上　少小婴孺方上	一七一
序例第一　择乳母附五条　方二首	一七一
初生出腹第二　论二首　凡十二事　相儿寿夭法	一七四
惊痫第三　中风附　论三首　候痫法一首　方十三首　灸法二十六首	一八一
客忤第四　鬾病　夜啼　惊啼附　论二首　方三十二首　灸法一首　咒法二首	一九三
伤寒第五　寒热温疟附　论一首　方三十五首　灸法一首	一九九
卷第五下　少小婴孺下	二〇六
咳嗽第六　方十四首	二〇六
癖结胀满第七　霍乱附　方三十五首　灸法一首	二〇九
痈疽瘰疬第八　论一首　方七十二首　灸法一首	二一六
小儿杂病第九　方一百二十一首　灸法十三首	二二六
卷第六上　七窍病上	二四〇
目病第一　论一首　证三条　方七十一首　咒法二首　灸法二十八首	二四〇
鼻病第二　论一首　方五十五首　灸法六首	二五五
口病第三　香附论一首　方五十九首　灸法二首	二六二
舌病第四　方十一首	二七二
唇病第五　甲煎附　甲煎法二首　方二十首　灸法二首	二七四
卷第六下　七窍病下	二七八
齿病第六　论一首　方三十八首　灸法二首	二七八
喉病第七　咽附　证一条　方五十首　针灸法二首	二八三
耳病第八　方五十五首	二八八
面病第九　方八十一首	二九六
卷第七　风毒脚气	三一三
论风毒状第一　十六章	三一三
汤液第二　裹脚方附　方三十八首	三二一
诸散第三　方七首	三三三
酒醴第四　例一首　方十六首	三三六
膏第五　例一首　方八首	三四一
卷第八　诸风	三四六
论杂风状第一　痹痉附	三四六
诸风第二　风寒　风热附　方二十九首　灸法四十首	三五〇
贼风第三　历节附　论一首　方三十二首　灸法六首	三六四
偏风第四　猥退　缓弱　挛急　腰脚痛附　方十二首　针灸法五首	三七三
风痱第五　论三首　方八首　灸法一首	三七六
风懿第六　口禁　失音　口喎　尸厥附　论三首　方二十三首　针灸法六首	三八〇
角弓反张第七　方六首	三八四
风痹第八　论一首　方九首	三八六
卷第九　伤寒方上	三八九
伤寒例第一	三八九
辟温第二　治瘴雾气附　方三十六首　湿病证一条	三九三
伤寒膏第三　方三首	四〇〇
发汗散第四　方十一首	四〇一
发汗汤第五　例一首　桂枝证十三首　方十九首	四〇四
发汗丸第六　方二首	四一一
宜吐第七　例一首　证五条　方五首	四一二
宜下第八　例一首　诸证十二条　方八首	四一四
发汗吐下后第九　脉证七条　方十七首　灸法一首	四一七
卷第十　伤寒下	四二三
伤寒杂治第一　附论一首　方五十一首　灸法一首	四二三
劳复第二　食忌　阴阳易　理发附论二首　方二十一首　食忌九条	四三〇
百合第三　论二首　方七首	四三四
伤寒不发汗变成狐惑病第四　论一首　方三首	四三七
伤寒发黄第五　论一首　证五条　方三十四首　灸图三首	四三八
温疟第六　论一首　方三十四首　灸刺法十九首　禳疟法一首　符二首	四四九
溪毒证第七	四六〇
卷第十一　肝脏	四六一
肝脏脉论第一	四六一
肝虚实第二　肝胆俱虚实附　脉四条　方十一首　灸法一首	四七〇
肝劳第三　论一首　方二首	四七四
筋极第四　筋虚实附论三首　方七首　灸法七首	四七四
坚症积聚第五　论一首　方四十四首　灸法六首	四七七
卷第十二　胆腑	四八八
胆腑脉论第一	四八八
胆虚实第二　虚烦不得眠附脉二条　方九首　灸法二首	四九〇
咽门论第三	四九二
髓虚实第四　论一首　方二首	四九三
风虚杂补酒煎第五　食治方附方十八首	四九三
吐血第六　论一首　方三十首　灸法十五首	五〇〇
万病丸散第七　论述三首　方十三首	五〇七
卷第十三　心脏	五二四
心脏脉论第一	五二四
心虚实第二　心小肠俱虚实附　脉四条　方十一首　灸法一首	五三二
心劳第三　论一首　方一首	五三六
脉极第四　论一首　方一首　灸法二首	五三七
脉虚实第五　论一首　方三首　针灸法二首	五三八
心腹痛第六　论二首　方二十九首　蒸熨法一首　灸法二十五首	五三九
胸痹第七　论二首　方十三首　灸法五首	五四七
头面风第八　头眩　面风　发白　生发　白赤禿　方一百二首　拔白法一首	五五〇
卷第十四　小肠腑	五六七
小肠腑脉论第一	五六七
小肠虚实第二　脉二条　方三首　灸法二首	五六九
舌论第三	五七〇
风眩第四　叙论三首　方十首　灸禁法二首	五七〇
风癫第五　狂邪　针灸图诀附　论六首　方三十四首　针灸法四十八首	五七四
风虚惊悸第六　方二十三首	五九〇
好忘第七　方十六首	五九六
孔子大圣知枕中方	五九六
卷第十五上　脾脏上	五九九
脾脏脉论第一	五九九
脾虚实第二　脾胃俱虚实　消食附　论一首　方二十三首　脉四条　灸法一首	六〇七
脾劳第三　论一首　方二首	六一三
肉极第四　论一首　方六首	六一四
肉虚实第五　论一首　方二首	六一六
卷第十五下　脾脏下	六一八
秘涩第六　大便失禁　大小便不通附　论一首　方四十一首　灸法十五首	六一八
热痢第七　论一首　脉证二十四条　方二十六首　灸法十首	六二四
冷痢第八　论一首　方三十二首	六三五
疳湿痢第九　月蚀疮附　论二首　方十首	六四二
小儿痢第十　方三十七首	六四六
卷第十六　胃腑	六五二
胃腑脉论第一	六五二
胃虚实第二　脉二条　方三首　灸方一首	六五四
喉咙论第三	六五五
反胃第四　酢咽附　脉三条　方十六首　灸法三首	六五六
呕吐哕逆第五　恶心附　论一首　脉一条　方二十七首　灸法十五首	六五九
噎塞第六　哽附　论一首　方二十八首	六六五
胀满第七　论一首　方八首　灸法十一首	六六九
痼冷积热第八　寒疝　骨蒸附　论四首　方三十首　灸法一首	六七二
卷第十七　肺脏	六八〇
肺脏脉论第一	六八〇
肺虚实第二　肺与大肠俱虚俱实附　脉四条　方一十首　灸法二首	六八七
肺劳第三　论一首　方三首　灸法一首	六九三
气极第四　气虚实附　论一首　方六首　灸法二首	六九四
积气第五　七气　五膈　奔豚附　论二首　方五十一首　灸法二十四首	六九六
肺痿第六　论一首　方五首	七一〇
肺痈第七　论一首　方五首	七一一
飞尸鬼疰第八　论一首　方四十五首　灸法十二首	七一三
卷第十八　大肠腑	七二五
大肠腑脉论第一	七二五
大肠虚实第二　脉二条　方二首　灸法七首	七二六
肛门论第三	七二八
皮虚实第四　论一首　方二首	七二八
咳嗽第五　论二首　证七条　方六十首　灸法十四首	七二九
痰饮第六　论一首　方四十一首　灸法一首	七四六
九虫第七　湿附　论三首　方四十五首	七五六
卷第十九　肾脏	七六六
肾脏脉论第一	七六六
肾虚实第二　肾与膀胱俱虚实附　脉四条　方四首　灸法一首	七七三
肾劳第三　论一首　方五首	七七六
精极第四　精虚实附　论一首　方十九首　灸法十二首	七七七
骨极第五　论一首　方一首　灸法二首	七八三
骨虚实第六　论一首　方六首　灸法一首	七八四
腰痛第七　论一首　方十八首　导引法一首　针灸法七首	七八五
补肾第八　论一首　方五十九首　灸法一首	七八九
卷第二十　膀胱腑	八一二
膀胱腑脉论第一	八一二
膀胱虚实第二　脉四条　方六首　灸法一首	八一四
胞囊论第三　论一首　方十六首　灸法八首	八一六
三焦脉论第四	八一九
三焦虚实第五　论三首　方十八首　灸法七首	八二〇
霍乱第六　论二首　证四条　方二十八首　灸法十八首	八二六
杂补第七　论一首　方三十首	八三四
卷第二十一　消渴　淋闭　尿血　水肿	八四一
消渴第一　论六首　方五十三首　灸法六首	八四一
淋闭第二　遗尿　失禁　尿床附　论一首　证二条　方五十三首　灸法十五首	八五四
尿血第三　方十三首	八六二
水肿第四　论一首　方四十九首　证八条　灸法二首	八六四
卷第二十二　疔肿　痈疽	八七八
疔肿第一　论一首　方二十九首　证十五条　灸法一首	八七八
痈疽第二　毒肿　石痈附　脉七条　论一首　方八十七首　禁法二首　灸法三首	八八五
发背第三　论一首　方十五首	九〇六
丹毒第四　小儿丹附　论一首　方三十八首	九〇九
隐轸第五　论一首　方二十九首　灸法一首	九一三
瘭疽第六　论一首　证十五条　方九十四首	九一七
卷第二十三　痔漏	九三一
九漏第一　瘰疬附　论一首　方八十三首　灸法十六首	九三一
肠痈第二　妒乳　乳痈附　论三首　方三十三首　灸法二首	九四四
五痔第三　论一首　方二十六首　灸法二首	九五〇
疥癣第四　疬疡　白癜　赤疵　疣目附　论二首　方六十首　灸法四首	九五六
恶疾大风第五　论一首　方十首	九六三
卷第二十四　解毒并杂治	九六八
解食毒第一　论一首　方三十九首	九六八
解百药毒第二　论一首　方十二首　解毒二十八条	九七二
解五石毒第三　论三首　证二十八条　方三十五首	九七六
蛊毒第四　论一首　方二十首	九八六
胡臭漏腋第五　论一首　方十五首	九九二
脱肛第六　方十三首　灸法三首	九九四
瘿瘤第七　方十三首　证一条　灸法十一首	九九六
病第八　阴疮　妬精疮附　论二首　方二十七首　灸法十八首	九九九
卷第二十五　备急	一〇〇五
卒死第一　魇　中恶　自缢　暍　溺　冻　醉酒附　方九十四首　灸法十首	一〇〇五
蛇毒第二　论六首　方一百三十三首　灸法二首	一〇一四
被打第三　从高堕下　竹木刺　恶刺　著漆附　论一首　方九十三首	一〇二八
火疮第四　炙　金疮　毒矢附　论二首　方七十三首　咒法二首	一〇三八
卷第二十六　食治	一〇四九
序论第一	一〇四九
果实第二　二十九条	一〇五三
菜蔬第三　五十八条	一〇五六
谷米第四　二十七条	一〇六四
鸟兽第五　虫鱼附　四十条	一〇六八
卷第二十七　养性	一〇七九
养性序第一　十条	一〇七九
道林养性第二	一〇八四
居处法第三	一〇九〇
按摩法第四　法二首	一〇九一
调气法第五	一〇九六
服食法第六　论一首　方二十四首	一〇九九
黄帝杂忌法第七	一一〇七
房中补益第八	一一〇八
卷第二十八　平脉	一一一四
平脉大法第一	一一一四
诊五脏脉轻重法第二	一一一六
指下形状第三	一一一六
五脏脉所属第四	一一一八
分别病形状第五	一一一九
三关主对法第六	一一二六
五脏积聚第七	一一三四
阴阳表里虚实第八	一一三五
何时得病第九	一一三七
扁鹊华佗察声色要诀第十	一一三七
诊五脏六腑气绝证候第十一	一一四二
诊四时相反脉第十二	一一四三
诊脉动止投数疏数死期年月第十三	一一四四
扁鹊诊诸反逆死脉要诀第十四	一一四七
诊百病死生要诀第十五	一一四九
诊三部脉虚实诀死生第十六	一一五五
卷第二十九　针灸上	一一五八
明堂三人图第一　仰人十四门　伏人十门　侧人六门	一一五八
手三阴三阳穴流注法第二　上	一一八五
针灸禁忌法第三	一一八七
五脏六腑变化傍通诀第四	一一九二
用针略例第五	一一九六
灸例第六	一一九九
大医针灸宜忌第七	一二〇二
卷第三十　针灸下	一二〇九
头面第一　项　目　鼻　耳　口　舌　齿　咽喉附	一二〇九
心腹第二	一二二一
四肢第三　手　臂肘　肩背　腰脊　脚　膝附	一二四六
风痹第四　癫痫　尸厥　中恶　尸注附	一二五六
热病第五　黄疸　霍乱疟附	一二六五
瘿瘤第六　痔漏　㿗疝　阴病附	一二七三
杂病第七　论一首	一二七七
妇人病第八　小儿附	一二七八

千金翼方	一二八五
校正千金翼方表	一二八七
千金翼方序	一二八九
卷第一　药录纂要	一二九一
采药时节第一	一二九一
药名第二	一三〇七
药出州土第三	一三一一
用药处方第四	一三二〇
卷第二　本草上	一三三五
玉石部上品　二十二味	一三三五
玉石部中品　二十九味	一三四〇
玉石部下品　三十一味	一三四四
草部上品之上　四十味	一三四七
草部上品之下　三十八味	一三五五
草部中品之上　三十七味	一三六二
草部中品之下　三十九味	一三六九
卷第三　本草中	一三七四
草部下品之上　三十五味	一三七四
草部下品之下　六十八味	一三七九
木部上品　二十七味	一三八六
木部中品　二十九味	一三九一
木部下品　四十五味	一三九五
人兽部　五十六味	一四〇〇
卷第四　本草下	一四一〇
虫鱼部　七十一味　论一首	一四一〇
果部　二十五味	一四一九
菜部　三十七味	一四二二
米谷部　二十八味	一四二六
有名未用　一百九十六味	一四二九
唐本退　二十味	一四四二
卷第五　妇人一	一四四五
妇人求子第一　论一首　方七首	一四四五
妇人积聚第二　方一十三首	一四四八
妇人乳疾第三　方六首	一四五二
妇人杂病第四　方一十三首	一四五三
妇人面药第五　论一首　方三十九首	一四五六
熏衣浥衣香第六　方六首	一四六六
令身香第七　方一十三首	一四六八
生发黑发第八　方一十九首	一四七〇
卷第六　妇人二	一四七四
产后心闷第一　方四首	一四七四
产后虚烦第二　方一十三首	一四七五
阴脱第三　方八首	一四七八
恶露第四　方一十八首	一四七九
心痛第五　方四首	一四八三
腹痛第六　方一十六首	一四八五
虚损第七　方一十七首	一四八八
卷第七　妇人三	一四九四
虚乏第一　方十二首	一四九四
盗汗第二　方四首	一四九八
下乳第三　方一十六首	一四九九
中风第四　方一十一首	一五〇二
心悸第五　方四首	一五〇五
下痢第六　方一十七首	一五〇六
淋渴第七　方一十一首	一五一〇
卷第八　妇人四	一五一三
崩中第一　方三十六首	一五一三
月水不利第二　方三十四首	一五二二
损伤第三　方七首	一五三二
卷第九　伤寒上	一五三四
太阳病用桂枝汤法第一　五十七证　方五首	一五三四
太阳病用麻黄汤法第二　一十六证　方四首	一五四〇
太阳病用青龙汤法第三　四证　方二首	一五四二
太阳病用柴胡汤法第四　十五证　方七首	一五四三
太阳病用承气汤法第五　九证　方四首	一五四七
太阳病用陷胸汤法第六　三十一证　方一十六首	一五四九
太阳病杂疗法第七　二十证　方一十三首	一五五五
阳明病状第八　七十五证　方一十一首	一五五九
少阳病状第九　九证	一五六八
卷第十　伤寒下	一五七〇
太阴病状第一　八证　方二首	一五七〇
少阴病状第二　四十五证　方一十六首	一五七一
厥阴病状第三　五十六证　方七首	一五七七
伤寒宜忌第四　十五章	一五八三
发汗吐下后病状第五　三十证　方一十五首	一五九二
霍乱病状第六　一十证　方三首	一五九七
阴易病已后劳复第七　七证　一方四首　附方六首	一五九八
卷第十一　小儿	一六〇二
养小儿第一　合八十九条　方二十首　灸法二首　论一首	一六〇二
小儿杂治法第二　方五十七首　论一首	一六一五
眼病第三　合一百三十三方　灸法二首　论一首	一六二五
鼻病第四　论一首　方八首　	一六三二
口病第五　论二首　方十七首	一六三五
唇病第六　方四首	一六三八
齿病第七　方二十七首　	一六三八
舌病方第八	一六四三
喉病第九　方十四首　	一六四四
噎病第十　方二首	一六四六
耳病第十一　方二十四首　	一六四六
卷第十二　养性	一六五一
养性禁忌第一　论一首	一六五一
养性服饵第二　方三十七首	一六五五
养老大例第三　论三首	一六六七
养老食疗第四　方一十七首　论五首	一六六九
卷第十三　辟谷	一六七六
服茯苓第一　方六首	一六七六
服松柏脂第二　方二十首　论一首	一六七八
服松柏实第三　方一十九首	一六八三
酒膏散第四　方六首　论一首	一六八七
服云母第五　方三首　论一首	一六九〇
服水第六　论一首　法七首	一六九二
卷第十四　退居	一六九七
择地第一	一六九七
缔构第二	一六九七
服药第三	一六九八
饮食第四	一六九九
养性第五	一七〇〇
种造药第六　	一七〇一
杂忌第七	一七〇八
卷第十五　补益	一七一〇
叙虚损论第一　	一七一〇
大补养第二　论一首　方八首	一七一二
解散发动第三　论一首　方三十五首　与第二十二卷通	一七一五
补五脏第四　方四十五首	一七二三
五脏气虚第五　方九首	一七三六
补虚丸散第六　方二十二首	一七三八
卷第十六　中风上	一七四五
诸酒第一　方二十首	一七四五
诸散第二　方九首　论一首	一七五一
诸膏第三　方三首	一七五五
僻第四　方四首	一七五七
心风第五　方一十四首	一七五八
风眩第六　方二十七首	一七六三
卷第十七　中风下	一七六七
中风第一　方三十五首　炙法二首　论四首	一七六七
脚气第二　论一首　方二十一首	一七七八
瘾疹第三　方一十六首　灸法一首	一七八三
疬疡第四　方一十四首　灸法一首	一七八七
卷第十八　杂病上	一七九一
霍乱第一　方二十七首	一七九一
痎疟第二　方二首　禳法十二首　针灸法七首	一七九六
黄疸第三　论三首　方二十八首　针灸一十法	一七九八
吐血第四　论三首　方三十首	一八〇七
胸中热第五　方一十七首	一八一四
压热第六　方一十三首　论一首	一八二〇
卷第十九　杂病中	一八二六
消渴第一　方二十二首	一八二六
淋病第二　方二十首	一八三一
水肿第三　方二十六首　并五不治证	一八三五
痰饮第四　方一十四首	一八四四
癖积第五　方一十四首	一八四七
寒冷第六　方九首	一八五一
饮食不消第七　方一十七首　论一首	一八五四
杂疗第八　方法一百二十首	一八五九
卷第二十　杂病下	一八七三
备急第一　方二十七首　论一首	一八七三
蛊毒第二　论一首　方七首　灸法一首	一八八四
药毒第三　方一十二首	一八八五
从高堕下第四　方一十一首	一八八七
金疮第五　方六十二首	一八九〇
沙虱第六　方三十一首	一八九九
瘿病第七　方九首	一九〇三
阴病第八　方一十四首	一九〇五
卷第二十一　万病	一九〇八
总疗万病第一　	一九〇八
阿伽陀丸主万病第二	一九一七
耆婆治恶病第三　方一十一首　论七首	一九二三
蹋曲疗冷第四　方六首	一九三二
卷第二十二　飞炼	一九三五
飞炼研煮钟乳及和草药服疗第一　方六首	一九三五
飞炼研煮五石及和草药服疗第二　方二十一首　论一首	一九三七
服诸石药及寒食散已，违失节度，发病疗之法合四十五条第三　论三首	一九四八
解石及寒食散并下石第四　论一首　方六十九首	一九五四
卷第二十三　疮痈上	一九七三
黄父相痈疽论第一	一九七三
诊痈疽发起处第二　方一首	一九七四
候痈疽色法第三	一九七七
诊知是痈疽法第四	一九七八
诊痈疽有脓法第五	一九七七
候人年得疽法第六	一九七八
相五色疽死生法第七	一九八〇
薄贴第八　方三十一首	一九八三
处疗痈疽第九　论一首　方三十三首	一九八九
卷第二十四　疮痈下	一九九八
痈疽发背第一　方九首	一九九八
鼠瘘第二　论一首　方二十一首　灸法三首	二〇〇〇
瘭疽第三　方八首	二〇〇四
恶核第四　论一首　方一十三首	二〇〇六
丹疹第五　方二十八首	二〇〇九
疳湿第六　论二首　方三十八首	二〇一二
肠痔第七　方三十六首　论一首	二〇二〇
疥癣第八　论一首　方三十四首　灸法一首	二〇二六
代指第九　方六首	二〇三一
湿热疮第十　方三十四首	二〇三二
卷第二十五　色脉	二〇三九
诊气色法第一	二〇三九
诊脉大意第二	二〇四五
诊四时脉第三	二〇五一
诊寸口脉第四	二〇五二
诊关上脉第五	二〇五四
诊尺中脉第六	二〇五五
诊杂病脉第七	二〇五七
卷第二十六　针灸上	二〇六四
取孔穴法第一	二〇六四
妇人第二　法四十五首	二〇九二
小儿惊痫第三　法二十一首	二〇九五
鼻病第四　法七首	二〇九七
舌病第五　法二十五首	二〇九七
脚气第六　法三首　论一首	二一〇〇
诸风第七　法六十九首　论一首	二一〇一
时行法第八　法四首	二一〇八
黄疸第九　法一十一首	二一〇九
疟病第十　法一十三首	二一一〇
卷第二十七　针灸中	二一一一
肝病第一　五十一法	二一一一
胆病第二　一十二法	二一一五
心病第三　一十八法	二一一七
小肠病第四　八十一法　诀二首	二一一八
脾病第五　三十二法	二一二五
胃病第六　三十四法	二一二八
肺病第七　四十五法	二一三一
大肠病第八　二十二法　论一首	二一三四
肾病第九　二十四法	二一三六
膀胱病第十　三十二法	二一三八
卷第二十八　针灸下	二一四一
消渴第一　一十二法　论一首	二一四一
淋病第二　二十三法	二一四二
尿血第三　七法	二一四四
水病第四　一十五法	二一四五
痈疽第五　七法　论一首	二一四六
痔漏第六　十八法	二一四七
脱肛第七　四十法	二一四九
卒死第八　十三法	二一五二
杂法第九	二一五三
针灸宜忌第十	二一五七
卷第二十九　禁经上	二一六四
持禁斋戒法第一	二一六五
受禁法第二	二一六六
杂受禁法第三	二一七〇
禁法大例第四	二一七三
掌诀法第五	二一七五
禁鬼客忤气第六	二一八〇
